"Row,Issuer_Name,Issue_Date,lead_CUSIP,emma_security_details_url,prospectus_url"
"1,City of Atlanta GA Department of Aviation,,04780M2K4,https://emma.msrb.org/Security/Details/04780M2K4,https://emma.msrb.org/P21963220-P21497913-P21950218.pdf"
"2,City of Los Angeles Department of Airports,,5444452H1,https://emma.msrb.org/Security/Details/5444452H1,https://emma.msrb.org/P11836470-P11407478-P11849595.pdf"
"3,City of San Francisco CA Public Utilities Commission Water Revenue,,79771FGL5,https://emma.msrb.org/Security/Details/79771FGL5,https://emma.msrb.org/P11837901-P11408439-P11850619.pdf"
"4,City of Renton WA,2013-07-01,760133SZ2,https://emma.msrb.org/Security/Details/760133SZ2,NO OS SUBMITTED"
"5,City of Gresham OR,2013-07-30,397730RA2,https://emma.msrb.org/Security/Details/397730RA2,https://emma.msrb.org/EA548110-EA427013-EA823896.pdf"
"6,City of Norfolk VA,2013-11-07,655867SG5,https://emma.msrb.org/Security/Details/655867SG5,https://emma.msrb.org/ER710847-ER551237-ER952297.pdf"
"7,City of Spokane WA Water & Wastewater Revenue,2014-12-02,849103AC0,https://emma.msrb.org/Security/Details/849103AC0,https://emma.msrb.org/EA665289-EA521356-EA917540.pdf"
"8,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,79771KAA4,https://emma.msrb.org/Security/Details/79771KAA4,https://emma.msrb.org/ER881975-ER689101-ER1090744.pdf"
"9,City of Los Angeles CA Wastewater System Revenue,2015-06-30,53945CCZ1,https://emma.msrb.org/Security/Details/53945CCZ1,https://emma.msrb.org/ER890479-ER695548-ER1097054.pdf"
"10,District of Columbia Water & Sewer Authority,2015-10-15,254845LC2,https://emma.msrb.org/Security/Details/254845LC2,https://emma.msrb.org/ES732753-ES574207-ES970101.pdf"
"11,City of St Paul MN Sewer Revenue,2016-04-14,793071PM7,https://emma.msrb.org/Security/Details/793071PM7,https://emma.msrb.org/ES778368-ES612030-ES1007776.pdf"
"12,St Louis Municipal Finance Corp,2016-05-04,79165TRS2,https://emma.msrb.org/Security/Details/79165TRS2,https://emma.msrb.org/ES790334-ES618314-ER1154135.pdf"
"13,San Francisco City & County Public Utilities Commission Wastewater Revenue,2016-05-24,79768HCH9,https://emma.msrb.org/Security/Details/79768HCH9,https://emma.msrb.org/ES786506-ES618502-ES1014137.pdf"
"14,Port of Los Angeles,2016-10-13,544552ZY1,https://emma.msrb.org/Security/Details/544552ZY1,https://emma.msrb.org/ES821894-ES644906-ES1040084.pdf"
"15,City of Napa CA Solid Waste Revenue,2016-10-20,630337AE3,https://emma.msrb.org/Security/Details/630337AE3,https://emma.msrb.org/EP954217-EP740267-EP1141856.pdf"
"16,City & County of Honolulu HI,2016-10-26,4386705P2,https://emma.msrb.org/Security/Details/4386705P2,https://emma.msrb.org/EP955560-EP741280-EP1142849.pdf"
"17,City of Decatur IL,2016-11-09,243127VC8,https://emma.msrb.org/Security/Details/243127VC8,https://emma.msrb.org/ER993766-ER777992-ER1179255.pdf"
"18,City of Portland OR,2016-11-29,736740PX3,https://emma.msrb.org/Security/Details/736740PX3,https://emma.msrb.org/ES992715-ES777205-ES1178513.pdf"
"19,City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14,79765RM89,https://emma.msrb.org/Security/Details/79765RM89,https://emma.msrb.org/ES997086-ES780844-ES1182154.pdf"
"20,City of Portland OR Water System Revenue,2016-12-15,736754N57,https://emma.msrb.org/Security/Details/736754NQ1,https://emma.msrb.org/EP972015-EP753901-EP1155503.pdf"
"21,District of Columbia Water & Sewer Authority,2017-02-23,254845MX5,https://emma.msrb.org/Security/Details/254845MX5,https://emma.msrb.org/EP975656-EP756739-EP1158361.pdf"
"22,City of St Paul MN Sewer Revenue,2017-04-06,793071QU8,https://emma.msrb.org/Security/Details/793071QU8,https://emma.msrb.org/EP985874-EP764592-EP1166360.pdf"
"23,Board of Water Commissioners City & County of Denver/The,2017-05-23,24916PFQ5,https://emma.msrb.org/Security/Details/24916PFQ5,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf"
"24,City of Los Angeles CA Wastewater System Revenue,2017-05-24,53945CFQ8,https://emma.msrb.org/Security/Details/53945CFQ8,https://emma.msrb.org/EP996982-EP772996-EP1174766.pdf"
"25,City & County of Honolulu HI,2017-09-14,438687CN3,https://emma.msrb.org/Security/Details/438687CN3,https://emma.msrb.org/ES1040822-ES813624-ES1215008.pdf"
"26,St Louis Clean Energy Development Board,2017-09-21,791642AA9,https://emma.msrb.org/Security/Details/791642AA9,NO OS SUBMITTED"
"27,City & County of San Francisco CA Community Facilities District No 2014-1,2017-11-09,79772EAT6,https://emma.msrb.org/Security/Details/79772EAT6,https://emma.msrb.org/EP1028838-ES833343-ES1234413.pdf"
"28,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-13,79765RQ69,https://emma.msrb.org/Security/Details/79765RQ69,https://emma.msrb.org/ER1108407-ER866317-ER1267002.pdf"
"29,Chula Vista Municipal Financing Authority,2017-12-21,17132EBE3,https://emma.msrb.org/Security/Details/17132EBE3,https://emma.msrb.org/ER1112007-ER869797-ER1270532.pdf"
"30,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,79765R2A6,https://emma.msrb.org/Security/Details/79765R2A6,https://emma.msrb.org/ES1078538-ES842358-ES1243371.pdf"
